文件夹,名称,经度,纬度,海拔,文本显示风格,图标样式,显示级别,叠放层次,图标颜色及不透明度,图标比例,对象ID,附件ID与名称,所属区域,Comment,备注
/道路+线路地质滑坡点,landSpli_road+line,113.5928178,25.97904313,0,0,4,1-0,0,0X00000000,0,1176169209,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.593027,25.97408322,0,0,4,1-0,0,0X00000000,0,1567042562,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5469574,26.00703364,0,0,4,1-0,0,0X00000000,0,1253971370,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5417351,26.00738559,0,0,4,1-0,0,0X00000000,0,353841683,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5499775,25.99837441,0,0,4,1-0,0,0X00000000,0,387567183,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.567023,26.00085026,0,0,4,1-0,0,0X00000000,0,769954750,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5787389,25.97017205,0,0,4,1-0,0,0X00000000,0,531798633,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5751796,25.97335742,0,0,4,1-0,0,0X00000000,0,817188591,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.6172152,25.98615109,0,0,4,1-0,0,0X00000000,0,335358324,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.6185777,25.98742411,0,0,4,1-0,0,0X00000000,0,120831797,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5445514,26.00930441,0,0,4,1-0,0,0X00000000,0,1848425298,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5980964,26.03125776,0,0,4,1-0,0,0X00000000,0,1282228067,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5336912,25.98877427,0,0,4,1-0,0,0X00000000,0,256985407,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5316581,25.99194226,0,0,4,1-0,0,0X00000000,0,1600815260,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.6011326,26.01297323,0,0,4,1-0,0,0X00000000,0,1369570391,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5982412,26.03303159,0,0,4,1-0,0,0X00000000,0,776357347,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5896555,26.00853785,0,0,4,1-0,0,0X00000000,0,1028919619,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5716283,25.99853352,0,0,4,1-0,0,0X00000000,0,85154711,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5673368,25.98865854,0,0,4,1-0,0,0X00000000,0,953000243,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5855383,25.99800797,0,0,4,1-0,0,0X00000000,0,498420498,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5630989,25.98527347,0,0,4,1-0,0,0X00000000,0,1975267634,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.6098284,25.98134338,0,0,4,1-0,0,0X00000000,0,971331484,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5928822,26.00967082,0,0,4,1-0,0,0X00000000,0,341660488,,无,,影响道路+线路
/道路+线路地质滑坡点,landSlip_road+line,113.5069549,25.97840417,0,0,4,1-0,0,0X00000000,0,181536705,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5128906,25.98825831,0,0,4,1-0,0,0X00000000,0,632485483,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5342196,25.99573457,0,0,4,1-0,0,0X00000000,0,103622021,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpil_road+line,113.5591614,25.99954364,0,0,4,1-0,0,0X00000000,0,710577972,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpil_road+line,113.560355,25.99905184,0,0,4,1-0,0,0X00000000,0,266864554,,无,,影响道路+线路
/道路+线路地质滑坡点,landSpli_road+line,113.5686618,26.00009088,0,0,4,1-0,0,0X00000000,0,874353263,,无,,影响道路+线路
/道路+线路地质滑坡点,landSlip_road+line,113.5067591,25.97544077,0,0,4,1-0,0,0X00000000,0,1932972600,,无,,影响道路+线路
/道路+线路地质滑坡点,landSlip_road+line,113.5533249,25.97020823,0,0,4,1-0,0,0X00000000,0,1446314303,,无,,影响道路+线路
/道路+线路地质滑坡点,landSlip_road+line,113.5566616,25.94718226,0,0,4,1-0,0,0X00000000,0,477164194,,无,,影响道路+线路
/道路+线路地质滑坡点,landSlip_road+line,113.5483575,25.95516999,0,0,4,1-0,0,0X00000000,0,252936660,,无,,影响道路+线路
/道路+线路地质滑坡点,landSlip_road+line,113.5447741,25.96078423,0,0,4,1-0,0,0X00000000,0,2038010468,,无,,影响道路+线路
