"文件夹","名称","经纬度[经度 + 纬度]","线条宽度","线条颜色","线条不透明度","闭合","线型","轨迹风格","轨迹类别","显示级别","叠放层次","对象ID","所属区域","Comment"
"/青腰线路","线路1-2","113.57446940,25.99494176;113.57296944,25.99396259","10","0XFAFF0000","100","0","0","4","无","1-0","0","810662156","无",""
"/青腰线路","线路2-3","113.57296944,25.99396259;113.57213650,25.99438392;113.57181360,25.99787854","10","0XFAFF0000","100","0","0","4","无","1-0","0","1386111355","无",""
"/青腰线路","线路2-4","113.57296944,25.99396259;113.57283078,25.99377712;113.57125780,25.99316130","10","0XFAFF0000","100","0","0","4","无","1-0","0","1111989430","无",""
"/青腰线路","线路4-5","113.57125780,25.99316130;113.57114362,25.99316238;113.56951003,25.99311213","10","0XFAFF0000","100","0","0","4","无","1-0","0","962930227","无",""
"/青腰线路","线路4-6","113.57125780,25.99316130;113.57005829,25.99127438;113.56923079,25.99039996;113.56582363,25.98770762;113.56349099,25.98581260","10","0XFAFF0000","100","0","0","4","无","1-0","0","480284932","无",""
"/青腰线路","线路6-7","113.56349099,25.98581260;113.56402335,25.98306281;113.56486876,25.98204371;113.56534386,25.98006308;113.56696646,25.97795413;113.56902960,25.97541566","10","0XFAFF0000","100","0","0","4","无","1-0","0","304239000","无",""
"/青腰线路","线路7-8","113.56902960,25.97541566;113.56971958,25.97527452;113.57141229,25.97495324;113.57310014,25.97462713;113.57434201,25.97393218;113.57533731,25.97337218;113.57725392,25.97208425;113.57874330,25.97106122;113.57893013,25.96875566;113.57924599,25.96486109","10","0XFAFF0000","100","0","0","4","无","1-0","0","1827541450","无",""
"/青腰线路","线路7-9","113.56902960,25.97541566;113.56848498,25.97425828;113.56696428,25.97098296;113.56685578,25.97073397;113.56754231,25.96730495;113.56758979,25.96706561;113.57010459,25.96453793","10","0XFAFF0000","100","0","0","4","无","1-0","0","135737348","无",""
"/青腰线路","线路6-10","113.56349099,25.98581260;113.56272636,25.98534214;113.56142819,25.98447873;113.55960836,25.98501983;113.55861908,25.98531855;113.55692446,25.98456944","10","0XFAFF0000","100","0","0","4","无","1-0","0","320318566","无",""
"/青腰线路","线路10-11","113.55692446,25.98456944;113.55648879,25.98202976;113.55570390,25.97977833;113.55509103,25.97804231;113.55452921,25.97647285;113.55399560,25.97493357;113.55319317,25.97266621;113.55183363,25.97264850","10","0XFAFF0000","100","0","0","4","无","1-0","0","488632519","无",""
"/青腰线路","线路11-12","113.55183363,25.97264850;113.55205578,25.97226584;113.55358595,25.96979662;113.55570607,25.96858559","10","0XFAFF0000","100","0","0","4","无","1-0","0","2100920312","无",""
"/青腰线路","线路11-13","113.55183363,25.97264850;113.55135529,25.97236098;113.54989919,25.97139885;113.54868102,25.97060967;113.54576710,25.96893960;113.54541880,25.96869510;113.54546999,25.96756105;113.54562178,25.96426392;113.54416857,25.96209708;113.54478263,25.96003286;113.54820874,25.95637185;113.54859619,25.95392547;113.55469823,25.95402203","10","0XFAFF0000","100","0","0","4","无","1-0","0","1104754579","无",""
"/青腰线路","线路13-14","113.55469823,25.95402203;113.55602686,25.95710881","10","0XFAFF0000","100","0","0","4","无","1-0","0","1402470114","无",""
"/青腰线路","线路13-15","113.55469823,25.95402203;113.55669556,25.94889708;113.55667233,25.94600528","10","0XFAFF0000","100","0","0","4","无","1-0","0","1909208429","无",""
"/青腰线路","线路15-16","113.55667233,25.94600528;113.56352777,25.94258479;113.56833529,25.94521399;113.57707091,25.94042183;113.58471517,25.93996055;113.59405383,25.94373416","10","0XFAFF0000","100","0","0","4","无","1-0","0","1582827404","无",""
"/青腰线路","线路15-17","113.55667233,25.94600528;113.55616354,25.94462652;113.55796774,25.94124098;113.55848945,25.93869543","10","0XFAFF0000","100","0","0","4","无","1-0","0","225814605","无",""
"/青腰线路","线路10-18","113.55692446,25.98456944;113.55436492,25.98431905","10","0XFAFF0000","100","0","0","4","无","1-0","0","1519734222","无",""
"/青腰线路","线路18-20","113.55436492,25.98431905;113.55107341,25.98398590;113.54961255,25.98432653;113.54515942,25.98443219;113.54427698,25.98324330","10","0XFAFF0000","100","0","0","4","无","1-0","0","1233740523","无",""
"/青腰线路","线路18-19","113.55436492,25.98431905;113.55393454,25.98271752","10","0XFAFF0000","100","0","0","4","无","1-0","0","134213126","无",""
"/青腰线路","线路20-21","113.54427698,25.98324330;113.54305922,25.97756252;113.54024292,25.97582829;113.53931221,25.97453755;113.53871772,25.97393768;113.53685868,25.97412136","10","0XFAFF0000","100","0","0","4","无","1-0","0","1520258412","无",""
"/青腰线路","线路20-22","113.54427698,25.98324330;113.54241754,25.98498651;113.53695870,25.98582050","10","0XFAFF0000","100","0","0","4","无","1-0","0","2094178407","无",""
"/青腰线路","线路22-23","113.53695870,25.98582050;113.52956680,25.99365845","10","0XFAFF0000","100","0","0","4","无","1-0","0","90128037","无",""
"/青腰线路","线路23-24","113.52956681,25.99365845;113.52883353,25.99337181;113.52113361,25.99195700","10","0XFAFF0000","100","0","0","4","无","1-0","0","932474964","无",""
"/青腰线路","线路24-25","113.52113361,25.99195700;113.51301572,25.98903213;113.51175976,25.98371354;113.50992281,25.97925737;113.50603152,25.97810369;113.50684110,25.97514395","10","0XFAFF0000","100","0","0","4","无","1-0","0","116911287","无",""
"/青腰线路","线路24-26","113.52113361,25.99195700;113.52068232,25.99377388;113.52111221,25.99599229;113.51946888,25.99939332;113.51982802,26.00076782;113.52124079,26.00411064","10","0XFAFF0000","100","0","0","4","无","1-0","0","44507282","无",""
"/青腰线路","线路23-27","113.52956681,25.99365845;113.53364559,25.99499721;113.53613734,25.99924711","10","0XFAFF0000","100","0","0","4","无","1-0","0","485127032","无",""
"/青腰线路","线路27-28","113.53613734,25.99924711;113.53604414,26.00165586;113.53946865,26.00340803","10","0XFAFF0000","100","0","0","4","无","1-0","0","766457888","无",""
