文件夹,名称,经度,纬度,海拔,文本显示风格,图标样式,显示级别,叠放层次,图标颜色及不透明度,图标比例,对象ID,附件ID与名称,所属区域,Comment
/地质灾害点,landSlip_line,113.5500526,25.97154411,0,0,4,1-0,0,0X00000000,0,838520669,,无,
/地质灾害点,landSlip_line,113.5470486,25.957572,0,0,4,1-0,0,0X00000000,0,1127613378,,无,
/地质灾害点,landSlip_line,113.5479981,25.97027092,0,0,4,1-0,0,0X00000000,0,898259523,,无,
/地质灾害点,landSlip_line,113.5102353,25.98006788,0,0,4,1-0,0,0X00000000,0,755756531,,无,
/地质灾害点,landSlip_line,113.5108763,25.9815435,0,0,4,1-0,0,0X00000000,0,108548833,,无,
/地质灾害点,landSlip_line,113.5119814,25.98470204,0,0,4,1-0,0,0X00000000,0,624740250,,无,
/地质灾害点,landSlip_line,113.5200039,25.99855281,0,0,4,1-0,0,0X00000000,0,199812254,,无,
/地质灾害点,landSlip_line,113.5139877,25.98941559,0,0,4,1-0,0,0X00000000,0,318282687,,无,
/地质灾害点,landSpli_line,113.5360703,26.00080446,0,0,4,1-0,0,0X00000000,0,476802044,,无,
/地质灾害点,landSpli_line,113.535955,25.99913863,0,0,4,1-0,0,0X00000000,0,712871801,,无,
/地质灾害点,landSpli_line,113.5479391,25.99845156,0,0,4,1-0,0,0X00000000,0,148109943,,无,
/地质灾害点,landSpli_line,113.5530058,25.99806583,0,0,4,1-0,0,0X00000000,0,1560325121,,无,
/地质灾害点,landSpli_line,113.5617337,25.99944962,0,0,4,1-0,0,0X00000000,0,897301183,,无,
/地质灾害点,landSpli_line,113.5695308,26.00306571,0,0,4,1-0,0,0X00000000,0,681551967,,无,
/地质灾害点,landSpli_line,113.568002,26.0068649,0,0,4,1-0,0,0X00000000,0,1847011728,,无,
/地质灾害点,landSpli_line,113.5644561,26.01319499,0,0,4,1-0,0,0X00000000,0,2034149938,,无,
/地质灾害点,landSpli_line,113.5668138,26.01222357,0,0,4,1-0,0,0X00000000,0,1118444129,,无,
/地质灾害点,landSpli_line,113.5695657,26.0125755,0,0,4,1-0,0,0X00000000,0,862090170,,无,
/地质灾害点,landSpli_line,113.5830841,26.02239786,0,0,4,1-0,0,0X00000000,0,578315619,,无,
/地质灾害点,landSpli_line,113.5947007,25.99475335,0,0,4,1-0,0,0X00000000,0,2008201393,,无,
/地质灾害点,landSpli_line,113.5953391,25.99563573,0,0,4,1-0,0,0X00000000,0,1197649328,,无,
/地质灾害点,landSpli_line,113.5901302,26.00952136,0,0,4,1-0,0,0X00000000,0,2016149291,,无,
/地质灾害点,landSpli_line,113.5931772,25.9707122,0,0,4,1-0,0,0X00000000,0,426184466,,无,
/地质灾害点,landSpli_line,113.5676801,25.97713828,0,0,4,1-0,0,0X00000000,0,621239223,,无,
/地质灾害点,landSpli_line,113.5391146,25.9740567,0,0,4,1-0,0,0X00000000,0,10445247,,无,
/地质灾害点,landSpli_line,113.5399729,25.98524935,0,0,4,1-0,0,0X00000000,0,1697727425,,无,
/地质灾害点,landSpli_line,113.5433686,25.97795327,0,0,4,1-0,0,0X00000000,0,263263269,,无,
/地质灾害点,landSpli_line,113.545965,25.98465141,0,0,4,1-0,0,0X00000000,0,378176595,,无,
/地质灾害点,landSpli_line,113.5495162,25.98418849,0,0,4,1-0,0,0X00000000,0,1613398910,,无,
/地质灾害点,landSpli_line,113.5783231,25.99446887,0,0,4,1-0,0,0X00000000,0,1002406816,,无,
/地质灾害点,landSpli_line,113.5802704,25.99282947,0,0,4,1-0,0,0X00000000,0,1342871764,,无,
/地质灾害点,landSpli_line,113.6062557,26.00028374,0,0,4,1-0,0,0X00000000,0,1570785384,,无,
/地质灾害点,landSpli_line,113.589583,26.00721684,0,0,4,1-0,0,0X00000000,0,1931662983,,无,
/地质灾害点,landSpli_line,113.5976672,26.01084716,0,0,4,1-0,0,0X00000000,0,1249213788,,无,
/地质灾害点,landSpli_line,113.5996842,26.01115089,0,0,4,1-0,0,0X00000000,0,809194844,,无,
/地质灾害点,landSpli_line,113.6189264,26.02245088,0,0,4,1-0,0,0X00000000,0,893279002,,无,
/地质灾害点,landSpli_line,113.6239314,26.0253673,0,0,4,1-0,0,0X00000000,0,39615342,,无,
/地质灾害点,landSpli_line,113.6421087,26.03378835,0,0,4,1-0,0,0X00000000,0,557352926,,无,
