"文件夹","名称","经度","纬度","海拔","文本显示风格","图标样式","显示级别","叠放层次","图标颜色及不透明度","图标比例","对象ID","附件ID与名称","所属区域","Comment"
"/桥梁","桥梁3-1","113.57019802","25.99111893","0","1","6","1-0","0","0X00000000","0.0","708577691","","无",""
"/桥梁","桥梁3-2","113.57035521","25.99103348","0","1","6","1-0","0","0X00000000","0.0","2100457813","","无",""
"/桥梁","桥梁4-1","113.57276005","25.99380101","0","1","6","1-0","0","0X00000000","0.0","2086022871","","无",""
"/桥梁","桥梁4-2","113.57289526","25.99364451","0","1","6","1-0","0","0X00000000","0.0","1559280678","","无",""
"/桥梁","桥梁5-1","113.58741440","25.99689176","0","1","6","1-0","0","0X00000000","0.0","95034907","","无",""
"/桥梁","桥梁5-2","113.58753272","25.99679959","0","1","6","1-0","0","0X00000000","0.0","1772546529","","无",""
"/桥梁","桥梁6-1","113.58919125","26.00366946","0","1","6","1-0","0","0X00000000","0.0","1926546905","","无",""
"/桥梁","桥梁6-2","113.58943821","26.00373985","0","1","6","1-0","0","0X00000000","0.0","2029622236","","无",""
"/桥梁","桥梁2-1","113.54863427","25.98451293","0","0","6","1-0","0","0X00000000","0.0","863453026","","无",""
"/桥梁","桥梁2-2","113.54870960","25.98404862","0","1","6","1-0","0","0X00000000","0.0","2028952863","","无",""
"/桥梁","桥梁1-1","113.53590435","25.97419457","0","1","6","1-0","0","0X00000000","0.0","926145401","","无",""
"/桥梁","桥梁1-2","113.53563992","25.97393856","0","1","6","1-0","0","0X00000000","0.0","873919851","","无",""
"/桥梁","桥梁7-1","113.60408102","26.01297481","0","1","6","1-0","0","0X00000000","0.0","1371620410","","无",""
"/桥梁","桥梁7-2","113.60407835","26.01275288","0","1","6","1-0","0","0X00000000","0.0","1783016043","","无",""
"/桥梁","桥梁8-1","113.61199959","26.01502771","0","1","6","1-0","0","0X00000000","0.0","2122281312","","无",""
"/桥梁","桥梁8-2","113.61193525","26.01479136","0","1","6","1-0","0","0X00000000","0.0","803755712","","无",""
