"文件夹","名称","经度","纬度","海拔","文本显示风格","图标样式","显示级别","叠放层次","图标颜色及不透明度","图标比例","对象ID","附件ID与名称","所属区域","Comment"
"/道路+线路地质滑坡点","landSpli_road+line","113.59281778","25.97904313","0","0","4","1-0","0","0X00000000","0.0","1176169209","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.59302700","25.97408322","0","0","4","1-0","0","0X00000000","0.0","1567042562","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.54695737","26.00703364","0","0","4","1-0","0","0X00000000","0.0","1253971370","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.54173511","26.00738559","0","0","4","1-0","0","0X00000000","0.0","353841683","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.54997754","25.99837441","0","0","4","1-0","0","0X00000000","0.0","387567183","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.56702298","26.00085026","0","0","4","1-0","0","0X00000000","0.0","769954750","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.57873887","25.97017205","0","0","4","1-0","0","0X00000000","0.0","531798633","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.57517958","25.97335742","0","0","4","1-0","0","0X00000000","0.0","817188591","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.61721516","25.98615109","0","0","4","1-0","0","0X00000000","0.0","335358324","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.61857772","25.98742411","0","0","4","1-0","0","0X00000000","0.0","120831797","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.54455143","26.00930441","0","0","4","1-0","0","0X00000000","0.0","1848425298","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.59809637","26.03125776","0","0","4","1-0","0","0X00000000","0.0","1282228067","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.53369117","25.98877427","0","0","4","1-0","0","0X00000000","0.0","256985407","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.53165805","25.99194226","0","0","4","1-0","0","0X00000000","0.0","1600815260","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.60113263","26.01297323","0","0","4","1-0","0","0X00000000","0.0","1369570391","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.59824121","26.03303159","0","0","4","1-0","0","0X00000000","0.0","776357347","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.58965546","26.00853785","0","0","4","1-0","0","0X00000000","0.0","1028919619","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.57162833","25.99853352","0","0","4","1-0","0","0X00000000","0.0","85154711","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.56733680","25.98865854","0","0","4","1-0","0","0X00000000","0.0","953000243","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.58553827","25.99800797","0","0","4","1-0","0","0X00000000","0.0","498420498","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.56309891","25.98527347","0","0","4","1-0","0","0X00000000","0.0","1975267634","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.60982835","25.98134338","0","0","4","1-0","0","0X00000000","0.0","971331484","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.59288216","26.00967082","0","0","4","1-0","0","0X00000000","0.0","341660488","","无",""
"/道路+线路地质滑坡点","landSlip_road+line","113.50695491","25.97840417","0","0","4","1-0","0","0X00000000","0.0","181536705","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.51289064","25.98825831","0","0","4","1-0","0","0X00000000","0.0","632485483","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.53421956","25.99573457","0","0","4","1-0","0","0X00000000","0.0","103622021","","无",""
"/道路+线路地质滑坡点","landSpil_road+line","113.55916142","25.99954364","0","0","4","1-0","0","0X00000000","0.0","710577972","","无",""
"/道路+线路地质滑坡点","landSpil_road+line","113.56035501","25.99905184","0","0","4","1-0","0","0X00000000","0.0","266864554","","无",""
"/道路+线路地质滑坡点","landSpli_road+line","113.56866181","26.00009088","0","0","4","1-0","0","0X00000000","0.0","874353263","","无",""
"/道路+线路地质滑坡点","landSlip_road+line","113.50675911","25.97544077","0","0","4","1-0","0","0X00000000","0.0","1932972600","","无",""
"/道路+线路地质滑坡点","landSlip_road+line","113.55332494","25.97020823","0","0","4","1-0","0","0X00000000","0.0","1446314303","","无",""
"/道路+线路地质滑坡点","landSlip_road+line","113.55666161","25.94718226","0","0","4","1-0","0","0X00000000","0.0","477164194","","无",""
"/道路+线路地质滑坡点","landSlip_road+line","113.54835749","25.95516999","0","0","4","1-0","0","0X00000000","0.0","252936660","","无",""
"/道路+线路地质滑坡点","landSlip_road+line","113.54477406","25.96078423","0","0","4","1-0","0","0X00000000","0.0","2038010468","","无",""
