文件夹,名称,经纬度[经度 + 纬度],线条宽度,线条颜色,线条不透明度,闭合,线型,轨迹风格,轨迹类别,显示级别,叠放层次,对象ID,所属区域,Comment
/道路,道路1-2,"113.57215807,25.99452191;113.57199177,25.99472442",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,924704828,无,
/道路,道路2-3,"113.57199177,25.99472443;113.57180444,25.99458418",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,64171692,无,
/道路,道路2-4,"113.57199177,25.99472443;113.57152767,25.99526421",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1002693544,无,
/道路,道路4-5,"113.57152767,25.99526421;113.57093632,25.99469550",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,330834244,无,
/道路,道路5-6,"113.57093632,25.99469550;113.57047319,25.99424484",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,415235378,无,
/道路,道路5-7,"113.57093632,25.99469550;113.57172120,25.99390614",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,775988702,无,
/道路,道路7-8,"113.57172120,25.99390614;113.57024759,25.99292486;113.57021804,25.99284038",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1128973699,无,
/道路,道路8-9,"113.57021804,25.99284038;113.56928972,25.99279700;113.56908821,25.99257599",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1540754756,无,
/道路,道路9-10,"113.56908821,25.99257599;113.56934617,25.99239295",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,380441949,无,
/道路,道路9-11,"113.56908821,25.99257599;113.56887327,25.99229343",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,2010270881,无,
/道路,道路11-12,"113.56887327,25.99229343;113.56954236,25.99183106",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,2137823612,无,
/道路,道路11-13,"113.56887327,25.99229343;113.56871206,25.99210746",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1259902923,无,
/道路,道路13-17,"113.56871206,25.99210746;113.56976407,25.99137052",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,677006772,无,
/道路,道路13-14,"113.56871206,25.99210746;113.56858309,25.99193478",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,2056135262,无,
/道路,道路14-15,"113.56858579,25.99192875;113.56849041,25.99182488;113.56947390,25.99110597",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1706556243,无,
/道路,道路14-16,"113.56858579,25.99192875;113.56961630,25.99121593",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,2063419544,无,
/道路,道路15-16,"113.56947390,25.99110597;113.56950614,25.99110601;113.56961630,25.99121593",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,838511315,无,
/道路,道路16-17,"113.56961630,25.99121593;113.56976407,25.99137052",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,427451736,无,
/道路,道路17-18,"113.56976407,25.99137052;113.56996536,25.99126237",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1869212328,无,
/道路,道路18-19,"113.56996536,25.99126237;113.56980575,25.99092423;113.56958007,25.99060788;113.56844890,25.98973546;113.56771536,25.98927126;113.56671578,25.98836512;113.56644168,25.98815725",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,94835493,无,
/道路,道路19-20,"113.56644168,25.98815725;113.56652228,25.98856753;113.56659476,25.98964370;113.56666723,25.99077776;113.56670214,25.99112764;113.56685258,25.99167793;113.56711051,25.99230075;113.56752161,25.99295995;113.56751892,25.99296477",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,586915963,无,
/道路,道路20-21,"113.56752161,25.99295995;113.56794755,25.99266136",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1971319788,无,
/道路,道路21-22,"113.56794755,25.99266136;113.56807383,25.99286539;113.56885574,25.99320418",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,2056629738,无,
/道路,道路13-21,"113.56794755,25.99266136;113.56871206,25.99210746",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,312666928,无,
/道路,道路20-23,"113.56752161,25.99295995;113.56766938,25.99324364;113.56788433,25.99366372;113.56817585,25.99406339;113.56901284,25.99449995",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,943557420,无,
/道路,道路23-24,"113.56902122,25.99448816;113.56933260,25.99432545;113.56943470,25.99426768;113.56950457,25.99423398;113.56961205,25.99419793;113.56975178,25.99419087;113.56989283,25.99424895;113.57104405,25.99540839",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1897015542,无,
/道路,道路23-25,"113.56902122,25.99448816;113.56946154,25.99481537;113.56980275,25.99514149;113.57025947,25.99581758;113.57062216,25.99625228",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1180057837,无,
/道路,道路25-4,"113.57062216,25.99625228;113.57152767,25.99526421",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1954997660,无,
/道路,道路25-26,"113.57062216,25.99625228;113.57216419,25.99818895",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,120392850,无,
/道路,道路26-27,"113.57216419,25.99818895;113.57280093,25.99775059",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,455251378,无,
/道路,道路27-28,"113.57280093,25.99775059;113.57315288,25.99747113;113.57325229,25.99730719;113.57324694,25.99706110;113.57309116,25.99661703",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1823798779,无,
/道路,道路2-28,"113.57199177,25.99472443;113.57255930,25.99561763;113.57309116,25.99661703",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,479311267,无,
/道路,道路28-29,"113.57309116,25.99661703;113.57353445,25.99639555;113.57367145,25.99635228;113.57372652,25.99633544;113.57384070,25.99635607;113.57396292,25.99640566;113.57414424,25.99659886;113.57417110,25.99662060;113.57478091,25.99632932;113.57497970,25.99617874",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1704462335,无,
/道路,道路29-30,"113.57497434,25.99616788;113.57573450,25.99645815;113.57622874,25.99662268;113.57660613,25.99668577",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1768940887,无,
