"文件夹","名称","经度","纬度","海拔","文本显示风格","图标样式","显示级别","叠放层次","图标颜色及不透明度","图标比例","对象ID","附件ID与名称","所属区域","Comment"
"/道路节点","道路节点1","113.57215807","25.99452191","0","1","5","1-0","0","0X00000000","0.0","1600304638","","无",""
"/道路节点","道路节点2","113.57199177","25.99472442","0","1","5","1-0","0","0X00000000","0.0","1624363429","","无",""
"/道路节点","道路节点3","113.57180444","25.99458418","0","1","5","1-0","0","0X00000000","0.0","1243009814","","无",""
"/道路节点","道路节点4","113.57152767","25.99526421","0","1","5","1-0","0","0X00000000","0.0","506085448","","无",""
"/道路节点","道路节点5","113.57093632","25.99469549","0","1","5","1-0","0","0X00000000","0.0","667594804","","无",""
"/道路节点","道路节点6","113.57047319","25.99424484","0","1","5","1-0","0","0X00000000","0.0","1567186987","","无",""
"/道路节点","道路节点7","113.57172120","25.99390614","0","1","5","1-0","0","0X00000000","0.0","2115254449","","无",""
"/道路节点","道路节点8","113.57021804","25.99284038","0","1","5","1-0","0","0X00000000","0.0","536375779","","无",""
"/道路节点","道路节点9","113.56908821","25.99257599","0","1","5","1-0","0","0X00000000","0.0","44713439","","无",""
"/道路节点","道路节点10","113.56934617","25.99239295","0","1","5","1-0","0","0X00000000","0.0","1203734763","","无",""
"/道路节点","道路节点11","113.56887327","25.99229343","0","1","5","1-0","0","0X00000000","0.0","1270127991","","无",""
"/道路节点","道路节点12","113.56954236","25.99183106","0","1","5","1-0","0","0X00000000","0.0","1332219434","","无",""
"/道路节点","道路节点13","113.56871206","25.99210746","0","1","5","1-0","0","0X00000000","0.0","1327784306","","无",""
"/道路节点","道路节点14","113.56858579","25.99192875","0","1","5","1-0","0","0X00000000","0.0","643368548","","无",""
"/道路节点","道路节点15","113.56947390","25.99110597","0","1","5","1-0","0","0X00000000","0.0","1996320637","","无",""
"/道路节点","道路节点16","113.56961936","25.99120451","0","1","5","1-0","0","0X00000000","0.0","1167899786","","无",""
"/道路节点","道路节点17","113.56976688","25.99136605","0","1","5","1-0","0","0X00000000","0.0","488172300","","无",""
"/道路节点","道路节点18","113.56996536","25.99126238","0","1","5","1-0","0","0X00000000","0.0","670016813","","无",""
"/道路节点","道路节点19","113.56644230","25.98815585","0","1","5","1-0","0","0X00000000","0.0","1057960415","","无",""
"/道路节点","道路节点20","113.56752992","25.99294519","0","1","5","1-0","0","0X00000000","0.0","1470480267","","无",""
"/道路节点","道路节点21","113.56796443","25.99265589","0","1","5","1-0","0","0X00000000","0.0","1427185644","","无",""
"/道路节点","道路节点22","113.56886029","25.99317182","0","1","5","1-0","0","0X00000000","0.0","751845181","","无",""
"/道路节点","道路节点23","113.56902122","25.99448816","0","1","5","1-0","0","0X00000000","0.0","1640469789","","无",""
"/道路节点","道路节点24","113.57104405","25.99540839","0","1","5","1-0","0","0X00000000","0.0","1531235502","","无",""
"/道路节点","道路节点25","113.57064128","25.99621915","0","1","5","1-0","0","0X00000000","0.0","731049320","","无",""
"/道路节点","道路节点26","113.57215941","25.99816708","0","1","5","1-0","0","0X00000000","0.0","226082414","","无",""
"/道路节点","道路节点27","113.57280093","25.99775059","0","1","5","1-0","0","0X00000000","0.0","234339774","","无",""
"/道路节点","道路节点28","113.57309116","25.99661703","0","1","5","1-0","0","0X00000000","0.0","1319046541","","无",""
"/道路节点","道路节点29","113.57497434","25.99616788","0","1","5","1-0","0","0X00000000","0.0","484447942","","无",""
"/道路节点","道路节点30","113.57662261","25.99665792","0","1","5","1-0","0","0X00000000","0.0","962287369","","无",""
"/道路节点","道路节点31","113.57745629","25.99608824","0","1","5","1-0","0","0X00000000","0.0","1171686370","","无",""
"/道路节点","道路节点32","113.58289200","25.99458949","0","1","5","1-0","0","0X00000000","0.0","1611316148","","无",""
"/道路节点","道路节点33","113.58363855","25.99373350","0","1","5","1-0","0","0X00000000","0.0","1061673988","","无",""
"/道路节点","道路节点34","113.58490659","25.99853352","0","1","5","1-0","0","0X00000000","0.0","1310406925","","无",""
"/道路节点","道路节点35","113.58649505","25.99749390","0","1","5","1-0","0","0X00000000","0.0","1089384452","","无",""
"/道路节点","道路节点36","113.58682251","25.99856523","0","1","5","1-0","0","0X00000000","0.0","547073757","","无",""
"/道路节点","道路节点37","113.58856380","25.99624808","0","1","5","1-0","0","0X00000000","0.0","174451638","","无",""
"/道路节点","道路节点38","113.58668315","25.99508143","0","1","5","1-0","0","0X00000000","0.0","1867642643","","无",""
"/道路节点","道路节点39","113.59177004","25.99572270","0","1","5","1-0","0","0X00000000","0.0","1754923238","","无",""
"/道路节点","道路节点40","113.60424399","25.99882282","0","1","5","1-0","0","0X00000000","0.0","1920910453","","无",""
"/道路节点","道路节点41","113.59438419","25.99296930","0","1","5","1-0","0","0X00000000","0.0","1841983477","","无",""
"/道路节点","道路节点42","113.59123362","25.99028691","0","1","5","1-0","0","0X00000000","0.0","1684319756","","无",""
